Date,City,Category,Product,Quantity,UnitPrice,Sales,PaymentMethod
2025-02-06,Mumbai,Cold Drinks,Smoothie,3,250,750,Card
2025-10-27,Pune,Tea,Masala Chai,2,80,160,Card
2025-03-28,Pune,Coffee,Cappuccino,3,180,540,UPI
2025-01-16,Delhi,Cold Drinks,Iced Tea,1,140,140,Card
2025-10-19,Bengaluru,Snacks,Fries,2,120,240,UPI
2025-01-21,Hyderabad,Tea,Lemon Tea,3,90,270,UPI
2025-12-14,Delhi,Tea,Masala Chai,3,80,240,UPI
2025-11-30,Delhi,Bakery,Croissant,2,150,300,UPI
2025-10-16,Delhi,Coffee,Espresso,1,120,120,Cash
2025-07-07,Bengaluru,Tea,Lemon Tea,3,90,270,Card
2025-02-09,Delhi,Cold Drinks,Iced Tea,2,140,280,Card
2025-01-14,Pune,Bakery,Muffin,2,120,240,UPI
2025-02-06,Delhi,Coffee,Espresso,3,120,360,UPI
2025-06-04,Delhi,Cold Drinks,Cola,2,90,180,UPI
2025-02-27,Pune,Coffee,Cappuccino,3,180,540,Card
2025-12-18,Delhi,Bakery,Cookie,1,60,60,UPI
2025-11-10,Pune,Tea,Green Tea,2,100,200,Card
2025-10-04,Hyderabad,Bakery,Muffin,2,120,240,UPI
2025-05-06,Mumbai,Coffee,Espresso,2,120,240,Cash
2025-07-06,Mumbai,Tea,Lemon Tea,2,90,180,Card
2025-10-10,Pune,Snacks,Fries,2,120,240,UPI
2025-04-26,Pune,Tea,Lemon Tea,3,90,270,UPI
2025-03-23,Pune,Coffee,Latte,2,200,400,UPI
2025-12-29,Delhi,Cold Drinks,Smoothie,3,250,750,UPI
2025-10-23,Hyderabad,Tea,Lemon Tea,2,90,180,UPI
2025-04-21,Mumbai,Coffee,Latte,3,200,600,Card
2025-07-06,Bengaluru,Bakery,Muffin,3,120,360,UPI
2025-03-31,Bengaluru,Bakery,Muffin,1,120,120,Card
2025-05-20,Mumbai,Bakery,Cookie,1,60,60,UPI
2025-03-11,Delhi,Bakery,Croissant,1,150,150,Cash
2025-05-07,Mumbai,Coffee,Espresso,1,120,120,UPI
2025-08-22,Delhi,Cold Drinks,Smoothie,3,250,750,UPI
2025-02-28,Bengaluru,Coffee,Cold Brew,3,220,660,UPI
2025-10-08,Pune,Bakery,Muffin,2,120,240,Card
2025-05-25,Hyderabad,Coffee,Espresso,1,120,120,UPI
2025-01-27,Delhi,Coffee,Cappuccino,2,180,360,Card
2025-07-01,Bengaluru,Coffee,Cappuccino,1,180,180,UPI
2025-11-13,Pune,Coffee,Espresso,1,120,120,UPI
2025-12-16,Delhi,Coffee,Espresso,2,120,240,UPI
2025-01-09,Mumbai,Cold Drinks,Smoothie,1,250,250,Card
2025-02-23,Delhi,Tea,Green Tea,3,100,300,UPI
2025-08-11,Pune,Snacks,Samosa,3,40,120,UPI
2025-01-10,Hyderabad,Bakery,Muffin,3,120,360,UPI
2025-02-07,Pune,Snacks,Sandwich,1,180,180,UPI
2025-05-01,Bengaluru,Cold Drinks,Cola,3,90,270,Cash
2025-05-18,Hyderabad,Bakery,Cookie,3,60,180,Card
2025-03-14,Pune,Bakery,Cookie,2,60,120,UPI
2025-04-07,Bengaluru,Bakery,Croissant,3,150,450,UPI
2025-09-22,Pune,Cold Drinks,Iced Tea,2,140,280,UPI
2025-06-02,Bengaluru,Coffee,Cappuccino,1,180,180,UPI
2025-07-22,Pune,Coffee,Cappuccino,3,180,540,Card
2025-05-19,Pune,Tea,Green Tea,1,100,100,Card
2025-12-11,Mumbai,Coffee,Espresso,3,120,360,Card
2025-10-17,Mumbai,Coffee,Cold Brew,3,220,660,UPI
2025-09-19,Hyderabad,Coffee,Cappuccino,3,180,540,UPI
2025-11-30,Delhi,Coffee,Latte,2,200,400,Card
2025-07-03,Bengaluru,Coffee,Latte,3,200,600,Card
2025-11-29,Mumbai,Bakery,Muffin,2,120,240,Cash
2025-12-03,Mumbai,Cold Drinks,Cola,2,90,180,Card
2025-03-04,Mumbai,Bakery,Croissant,3,150,450,UPI
2025-02-14,Bengaluru,Snacks,Samosa,3,40,120,UPI
2025-11-27,Hyderabad,Coffee,Cold Brew,2,220,440,Cash
2025-06-02,Delhi,Coffee,Latte,1,200,200,UPI
2025-11-01,Mumbai,Coffee,Espresso,1,120,120,UPI
2025-10-18,Delhi,Coffee,Cappuccino,3,180,540,Cash
2025-08-15,Mumbai,Tea,Green Tea,2,100,200,UPI
2025-05-24,Bengaluru,Snacks,Fries,2,120,240,Card
2025-05-08,Bengaluru,Bakery,Muffin,3,120,360,Cash
2025-01-05,Bengaluru,Tea,Masala Chai,2,80,160,Card
2025-10-04,Bengaluru,Coffee,Cappuccino,3,180,540,UPI
2025-12-24,Delhi,Snacks,Fries,1,120,120,UPI
2025-10-01,Mumbai,Coffee,Espresso,1,120,120,Card
2025-03-27,Pune,Tea,Green Tea,2,100,200,UPI
2025-08-12,Delhi,Cold Drinks,Cola,2,90,180,Card
2025-12-20,Delhi,Coffee,Cappuccino,2,180,360,UPI
2025-03-08,Bengaluru,Bakery,Cookie,3,60,180,UPI
2025-10-29,Delhi,Bakery,Croissant,2,150,300,UPI
2025-10-08,Mumbai,Tea,Green Tea,3,100,300,Card
2025-02-23,Bengaluru,Cold Drinks,Cola,3,90,270,UPI
2025-05-21,Mumbai,Coffee,Latte,3,200,600,Cash
2025-09-14,Bengaluru,Coffee,Latte,1,200,200,UPI
2025-07-01,Pune,Coffee,Cold Brew,1,220,220,UPI
2025-12-23,Delhi,Bakery,Muffin,2,120,240,UPI
2025-11-18,Mumbai,Snacks,Fries,3,120,360,UPI
2025-06-10,Pune,Coffee,Cold Brew,3,220,660,UPI
2025-06-26,Pune,Coffee,Cappuccino,2,180,360,Card
2025-03-31,Delhi,Coffee,Cappuccino,1,180,180,UPI
2025-12-21,Bengaluru,Coffee,Cold Brew,1,220,220,UPI
2025-03-24,Mumbai,Bakery,Cookie,1,60,60,UPI
2025-04-05,Mumbai,Cold Drinks,Cola,1,90,90,UPI
2025-06-06,Hyderabad,Tea,Masala Chai,3,80,240,Cash
2025-05-23,Mumbai,Bakery,Muffin,1,120,120,UPI
2025-12-21,Delhi,Bakery,Cookie,3,60,180,UPI
2025-06-02,Hyderabad,Tea,Lemon Tea,1,90,90,Cash
2025-03-13,Hyderabad,Coffee,Espresso,3,120,360,UPI
2025-09-16,Bengaluru,Coffee,Espresso,3,120,360,UPI
2025-05-23,Pune,Bakery,Cookie,1,60,60,Card
2025-12-04,Delhi,Tea,Green Tea,3,100,300,Card
2025-08-14,Pune,Coffee,Cold Brew,3,220,660,UPI
2025-08-31,Hyderabad,Snacks,Sandwich,3,180,540,UPI
2025-03-20,Delhi,Snacks,Samosa,3,40,120,UPI
2025-05-27,Pune,Tea,Lemon Tea,2,90,180,Card
2025-02-01,Delhi,Tea,Masala Chai,2,80,160,UPI
2025-09-26,Bengaluru,Coffee,Cold Brew,3,220,660,Card
2025-06-21,Hyderabad,Cold Drinks,Smoothie,1,250,250,UPI
2025-07-03,Mumbai,Coffee,Latte,3,200,600,UPI
2025-07-02,Mumbai,Bakery,Cookie,1,60,60,UPI
2025-12-29,Hyderabad,Cold Drinks,Iced Tea,1,140,140,Card
2025-08-29,Bengaluru,Tea,Lemon Tea,2,90,180,UPI
2025-08-31,Mumbai,Bakery,Cookie,2,60,120,UPI
2025-03-25,Hyderabad,Coffee,Latte,3,200,600,UPI
2025-09-22,Mumbai,Coffee,Espresso,3,120,360,UPI
2025-06-14,Hyderabad,Snacks,Samosa,3,40,120,UPI
2025-10-20,Delhi,Bakery,Croissant,3,150,450,UPI
2025-08-03,Mumbai,Coffee,Cappuccino,1,180,180,Card
2025-02-24,Bengaluru,Coffee,Cold Brew,1,220,220,UPI
2025-07-05,Bengaluru,Snacks,Fries,2,120,240,UPI
2025-08-03,Hyderabad,Coffee,Latte,1,200,200,Cash
2025-08-27,Pune,Bakery,Cookie,1,60,60,UPI
2025-06-03,Bengaluru,Coffee,Cold Brew,1,220,220,UPI
2025-09-05,Hyderabad,Coffee,Cappuccino,1,180,180,Cash
2025-06-06,Mumbai,Coffee,Espresso,1,120,120,Card
2025-07-09,Hyderabad,Tea,Lemon Tea,2,90,180,UPI
2025-12-26,Mumbai,Bakery,Cookie,3,60,180,Card
2025-12-01,Hyderabad,Tea,Masala Chai,1,80,80,Cash
2025-04-22,Bengaluru,Coffee,Cappuccino,3,180,540,Card
2025-12-16,Hyderabad,Tea,Green Tea,1,100,100,UPI
2025-03-24,Pune,Snacks,Fries,1,120,120,Cash
2025-12-25,Delhi,Coffee,Cappuccino,2,180,360,UPI
2025-09-20,Delhi,Coffee,Espresso,3,120,360,UPI
2025-08-08,Pune,Snacks,Fries,1,120,120,UPI
2025-11-13,Pune,Tea,Masala Chai,1,80,80,UPI
2025-05-26,Pune,Tea,Lemon Tea,1,90,90,UPI
2025-02-11,Delhi,Tea,Lemon Tea,3,90,270,Cash
2025-03-30,Bengaluru,Coffee,Cappuccino,2,180,360,Card
2025-11-22,Hyderabad,Bakery,Cookie,2,60,120,UPI
2025-05-31,Pune,Coffee,Cappuccino,3,180,540,UPI
2025-04-24,Delhi,Snacks,Samosa,2,40,80,UPI
2025-05-24,Delhi,Bakery,Croissant,1,150,150,UPI
2025-09-23,Bengaluru,Tea,Lemon Tea,2,90,180,UPI
2025-12-31,Mumbai,Bakery,Cookie,1,60,60,Cash
2025-03-31,Pune,Tea,Lemon Tea,2,90,180,Cash
2025-09-28,Mumbai,Cold Drinks,Smoothie,1,250,250,Card
2025-08-20,Mumbai,Bakery,Croissant,3,150,450,UPI
2025-04-09,Pune,Tea,Green Tea,2,100,200,UPI
2025-10-31,Bengaluru,Coffee,Cappuccino,2,180,360,UPI
2025-07-31,Hyderabad,Snacks,Samosa,3,40,120,Cash
2025-08-24,Pune,Coffee,Espresso,3,120,360,UPI
2025-08-19,Pune,Cold Drinks,Iced Tea,2,140,280,UPI
2025-08-10,Mumbai,Tea,Lemon Tea,1,90,90,UPI
2025-05-06,Bengaluru,Cold Drinks,Cola,3,90,270,UPI
2025-12-04,Bengaluru,Coffee,Latte,1,200,200,UPI
2025-11-11,Delhi,Tea,Masala Chai,2,80,160,UPI
2025-12-18,Hyderabad,Coffee,Cold Brew,2,220,440,UPI
2025-09-13,Pune,Coffee,Cappuccino,3,180,540,UPI
2025-08-15,Pune,Coffee,Cold Brew,2,220,440,Cash
2025-08-11,Hyderabad,Coffee,Cold Brew,1,220,220,Cash
2025-04-12,Bengaluru,Coffee,Cappuccino,3,180,540,UPI
2025-09-05,Bengaluru,Coffee,Cold Brew,1,220,220,UPI
2025-07-21,Delhi,Coffee,Latte,1,200,200,Card
2025-07-12,Pune,Tea,Green Tea,1,100,100,UPI
2025-01-29,Hyderabad,Tea,Lemon Tea,3,90,270,UPI
2025-10-24,Delhi,Coffee,Latte,2,200,400,Card
2025-07-15,Hyderabad,Coffee,Cold Brew,3,220,660,Card
2025-10-09,Delhi,Tea,Lemon Tea,3,90,270,UPI
2025-10-30,Hyderabad,Bakery,Cookie,2,60,120,Cash
2025-08-25,Delhi,Tea,Lemon Tea,1,90,90,Cash
2025-11-05,Mumbai,Bakery,Cookie,2,60,120,Cash
2025-11-30,Pune,Coffee,Espresso,3,120,360,Card
2025-06-02,Bengaluru,Tea,Masala Chai,1,80,80,UPI
2025-10-08,Bengaluru,Coffee,Latte,1,200,200,Card
2025-03-06,Pune,Snacks,Fries,1,120,120,Card
2025-06-08,Bengaluru,Coffee,Espresso,3,120,360,UPI
2025-06-09,Pune,Bakery,Croissant,1,150,150,Card
2025-10-21,Mumbai,Snacks,Fries,1,120,120,UPI
2025-05-11,Hyderabad,Tea,Masala Chai,1,80,80,UPI
2025-01-08,Mumbai,Tea,Lemon Tea,3,90,270,Cash
2025-08-07,Bengaluru,Bakery,Croissant,3,150,450,UPI
2025-01-15,Hyderabad,Coffee,Cappuccino,3,180,540,Card
2025-07-18,Pune,Cold Drinks,Iced Tea,3,140,420,UPI
2025-02-04,Hyderabad,Coffee,Cappuccino,1,180,180,UPI
2025-08-26,Delhi,Bakery,Croissant,3,150,450,UPI
2025-06-26,Bengaluru,Coffee,Cold Brew,3,220,660,UPI
2025-05-24,Delhi,Cold Drinks,Iced Tea,2,140,280,UPI
2025-09-28,Bengaluru,Tea,Green Tea,3,100,300,Card
2025-07-18,Bengaluru,Tea,Green Tea,2,100,200,Card
2025-05-23,Delhi,Snacks,Samosa,2,40,80,UPI
2025-04-15,Hyderabad,Snacks,Sandwich,3,180,540,UPI
2025-09-09,Pune,Tea,Masala Chai,3,80,240,UPI
2025-01-24,Bengaluru,Cold Drinks,Cola,1,90,90,Card
2025-02-06,Hyderabad,Tea,Lemon Tea,1,90,90,Card
2025-04-21,Bengaluru,Snacks,Fries,3,120,360,UPI
2025-02-26,Bengaluru,Snacks,Fries,2,120,240,UPI
2025-06-28,Delhi,Coffee,Cold Brew,2,220,440,Card
2025-08-09,Pune,Cold Drinks,Iced Tea,1,140,140,UPI
2025-10-17,Delhi,Snacks,Fries,1,120,120,UPI
2025-05-17,Pune,Coffee,Cold Brew,1,220,220,Card
2025-07-06,Mumbai,Snacks,Sandwich,1,180,180,UPI
2025-09-26,Bengaluru,Bakery,Croissant,1,150,150,Cash
2025-06-30,Pune,Snacks,Sandwich,1,180,180,UPI
2025-04-07,Mumbai,Snacks,Samosa,3,40,120,UPI
2025-05-26,Hyderabad,Snacks,Samosa,3,40,120,Card
2025-08-15,Pune,Cold Drinks,Cola,2,90,180,UPI
2025-05-15,Hyderabad,Coffee,Latte,2,200,400,Cash
2025-03-15,Delhi,Tea,Lemon Tea,3,90,270,UPI
2025-05-18,Pune,Snacks,Sandwich,2,180,360,UPI
2025-10-03,Bengaluru,Snacks,Sandwich,1,180,180,UPI
2025-10-05,Pune,Bakery,Muffin,3,120,360,Card
2025-01-17,Bengaluru,Coffee,Latte,2,200,400,UPI
2025-03-03,Delhi,Bakery,Cookie,2,60,120,Card
2025-09-10,Bengaluru,Coffee,Espresso,3,120,360,UPI
2025-12-27,Delhi,Coffee,Cold Brew,3,220,660,UPI
2025-07-12,Delhi,Tea,Lemon Tea,3,90,270,Cash
2025-06-09,Hyderabad,Coffee,Cold Brew,1,220,220,Card
2025-10-03,Pune,Coffee,Cappuccino,3,180,540,UPI
2025-05-31,Delhi,Tea,Green Tea,2,100,200,Cash
2025-06-28,Hyderabad,Coffee,Latte,3,200,600,UPI
2025-08-07,Delhi,Coffee,Espresso,2,120,240,UPI
2025-04-24,Mumbai,Coffee,Cappuccino,2,180,360,UPI
2025-10-06,Pune,Cold Drinks,Iced Tea,2,140,280,Card
2025-03-04,Pune,Coffee,Espresso,2,120,240,UPI
2025-09-18,Hyderabad,Snacks,Fries,1,120,120,Cash
2025-10-22,Hyderabad,Cold Drinks,Iced Tea,2,140,280,Cash
2025-09-06,Mumbai,Bakery,Croissant,1,150,150,UPI
2025-04-12,Hyderabad,Coffee,Latte,1,200,200,Card
2025-02-03,Pune,Bakery,Croissant,1,150,150,Card
2025-08-04,Bengaluru,Bakery,Cookie,2,60,120,Card
2025-03-23,Delhi,Coffee,Cold Brew,3,220,660,UPI
2025-02-11,Hyderabad,Coffee,Espresso,1,120,120,UPI
2025-09-22,Hyderabad,Snacks,Samosa,3,40,120,UPI
2025-01-22,Hyderabad,Coffee,Latte,3,200,600,UPI
2025-05-22,Mumbai,Tea,Masala Chai,2,80,160,Card
2025-01-04,Hyderabad,Bakery,Cookie,2,60,120,Card
2025-05-01,Mumbai,Bakery,Croissant,2,150,300,Card
2025-08-17,Bengaluru,Tea,Lemon Tea,1,90,90,UPI
2025-04-08,Bengaluru,Bakery,Cookie,3,60,180,UPI
2025-01-01,Bengaluru,Bakery,Muffin,1,120,120,Cash
2025-04-17,Bengaluru,Coffee,Cappuccino,2,180,360,UPI
2025-03-17,Mumbai,Coffee,Cappuccino,3,180,540,Cash
2025-06-27,Mumbai,Cold Drinks,Smoothie,1,250,250,Card
2025-05-15,Delhi,Coffee,Cappuccino,3,180,540,Card
2025-12-25,Bengaluru,Coffee,Espresso,3,120,360,Cash
2025-03-17,Hyderabad,Cold Drinks,Cola,3,90,270,Card
2025-12-11,Hyderabad,Coffee,Latte,2,200,400,Card
2025-01-15,Pune,Coffee,Cappuccino,2,180,360,UPI
2025-03-07,Hyderabad,Tea,Lemon Tea,3,90,270,UPI
2025-04-06,Hyderabad,Bakery,Croissant,2,150,300,UPI
2025-03-16,Delhi,Bakery,Cookie,1,60,60,UPI
2025-02-18,Delhi,Coffee,Espresso,3,120,360,Card
2025-02-01,Pune,Cold Drinks,Iced Tea,2,140,280,UPI
2025-12-01,Pune,Bakery,Croissant,3,150,450,Card
2025-08-06,Pune,Coffee,Latte,3,200,600,UPI
2025-08-31,Mumbai,Coffee,Cold Brew,1,220,220,UPI
2025-10-18,Mumbai,Tea,Green Tea,3,100,300,Card
2025-05-09,Hyderabad,Snacks,Samosa,1,40,40,UPI
2025-07-02,Bengaluru,Coffee,Espresso,3,120,360,UPI
2025-10-12,Hyderabad,Cold Drinks,Cola,2,90,180,Card
2025-08-01,Delhi,Coffee,Cappuccino,2,180,360,UPI
2025-06-07,Mumbai,Coffee,Cappuccino,3,180,540,UPI
2025-05-25,Mumbai,Snacks,Samosa,1,40,40,Cash
2025-10-31,Pune,Bakery,Cookie,2,60,120,UPI
2025-06-12,Bengaluru,Coffee,Latte,2,200,400,UPI
2025-02-21,Pune,Tea,Green Tea,3,100,300,Card
2025-06-15,Bengaluru,Tea,Lemon Tea,1,90,90,UPI
2025-12-26,Pune,Coffee,Latte,1,200,200,UPI
2025-09-26,Hyderabad,Tea,Green Tea,1,100,100,Card
2025-09-08,Mumbai,Cold Drinks,Cola,2,90,180,UPI
2025-01-02,Delhi,Bakery,Croissant,3,150,450,Card
2025-06-18,Bengaluru,Tea,Green Tea,1,100,100,UPI
2025-07-01,Bengaluru,Coffee,Cappuccino,3,180,540,Card
2025-09-06,Pune,Bakery,Croissant,1,150,150,UPI
2025-07-08,Delhi,Coffee,Espresso,2,120,240,Card
2025-07-15,Bengaluru,Coffee,Cappuccino,2,180,360,Card
2025-07-14,Hyderabad,Bakery,Cookie,1,60,60,UPI
2025-05-01,Mumbai,Coffee,Cold Brew,3,220,660,Cash
2025-01-26,Hyderabad,Coffee,Espresso,1,120,120,Card
2025-02-18,Pune,Bakery,Muffin,2,120,240,UPI
2025-12-24,Hyderabad,Cold Drinks,Iced Tea,2,140,280,UPI
2025-11-19,Bengaluru,Coffee,Latte,3,200,600,Card
2025-08-22,Pune,Coffee,Latte,2,200,400,Card
2025-07-17,Hyderabad,Coffee,Cold Brew,2,220,440,Card
2025-04-21,Hyderabad,Tea,Masala Chai,1,80,80,Cash
2025-07-21,Delhi,Bakery,Muffin,2,120,240,UPI
2025-12-20,Mumbai,Coffee,Latte,1,200,200,UPI
2025-06-30,Delhi,Coffee,Cappuccino,2,180,360,Card
2025-05-14,Bengaluru,Coffee,Latte,3,200,600,UPI
2025-06-24,Delhi,Coffee,Latte,2,200,400,UPI
2025-12-07,Pune,Cold Drinks,Smoothie,1,250,250,UPI
2025-02-20,Pune,Coffee,Cold Brew,2,220,440,Cash
2025-12-28,Hyderabad,Cold Drinks,Cola,2,90,180,Card
2025-01-13,Delhi,Coffee,Latte,2,200,400,UPI
2025-08-21,Hyderabad,Cold Drinks,Iced Tea,1,140,140,UPI
2025-08-18,Mumbai,Tea,Green Tea,3,100,300,Cash
2025-03-30,Pune,Bakery,Croissant,3,150,450,UPI
2025-02-27,Mumbai,Coffee,Cappuccino,3,180,540,UPI
2025-03-23,Bengaluru,Coffee,Cappuccino,1,180,180,Card
2025-01-05,Bengaluru,Coffee,Espresso,3,120,360,Cash
2025-01-25,Hyderabad,Tea,Green Tea,1,100,100,Cash
2025-09-24,Hyderabad,Tea,Lemon Tea,1,90,90,UPI
2025-08-26,Mumbai,Coffee,Latte,1,200,200,UPI
2025-12-24,Delhi,Coffee,Cappuccino,2,180,360,UPI
2025-09-25,Mumbai,Bakery,Cookie,2,60,120,UPI
2025-02-22,Hyderabad,Tea,Green Tea,2,100,200,Card
2025-05-20,Hyderabad,Cold Drinks,Cola,3,90,270,Card
2025-10-03,Hyderabad,Coffee,Latte,3,200,600,UPI
2025-07-26,Mumbai,Coffee,Cappuccino,2,180,360,UPI
2025-05-13,Hyderabad,Bakery,Cookie,3,60,180,UPI
2025-02-01,Hyderabad,Cold Drinks,Smoothie,1,250,250,UPI
2025-12-29,Mumbai,Tea,Green Tea,1,100,100,UPI
2025-12-25,Mumbai,Bakery,Cookie,2,60,120,Card
2025-10-19,Mumbai,Bakery,Muffin,3,120,360,Card
2025-06-15,Bengaluru,Snacks,Samosa,2,40,80,UPI
2025-05-14,Delhi,Tea,Masala Chai,2,80,160,UPI
2025-03-12,Mumbai,Coffee,Cappuccino,3,180,540,UPI
