order_id,order_date,customer_name,city,segment,product_name,category,unit_price,quantity,revenue
653,2024-01-19,Customer 026,Bengaluru,Small Business,Notebook,Office Supplies,80,3,240
593,2024-01-20,Customer 040,Mumbai,Small Business,Filing Cabinet,Furniture,9000,4,36000
372,2024-01-21,Customer 031,Mumbai,Corporate,Desk,Furniture,15000,5,75000
616,2024-01-21,Customer 018,Mumbai,Corporate,Notebook,Office Supplies,80,4,320
61,2024-01-22,Customer 036,Delhi,Corporate,Office Chair,Furniture,8000,1,8000
362,2024-01-22,Customer 022,Pune,Corporate,Notebook,Office Supplies,80,5,400
524,2024-01-22,Customer 008,Bengaluru,Consumer,Filing Cabinet,Furniture,9000,3,27000
793,2024-01-22,Customer 020,Hyderabad,Consumer,Office Chair,Furniture,8000,2,16000
165,2024-01-23,Customer 035,Delhi,Consumer,Monitor,Technology,12000,3,36000
16,2024-01-24,Customer 017,Delhi,Consumer,Whiteboard,Office Supplies,2000,2,4000
421,2024-01-24,Customer 012,Pune,Corporate,Filing Cabinet,Furniture,9000,5,45000
516,2024-01-24,Customer 022,Pune,Corporate,Notebook,Office Supplies,80,3,240
552,2024-01-26,Customer 027,Delhi,Small Business,Stapler,Office Supplies,250,1,250
744,2024-01-26,Customer 026,Bengaluru,Small Business,Whiteboard,Office Supplies,2000,3,6000
403,2024-01-28,Customer 022,Pune,Corporate,Office Chair,Furniture,8000,1,8000
56,2024-02-01,Customer 030,Bengaluru,Consumer,Stapler,Office Supplies,250,5,1250
382,2024-02-01,Customer 017,Delhi,Consumer,Headphones,Technology,2500,2,5000
626,2024-02-01,Customer 006,Pune,Corporate,Desk,Furniture,15000,5,75000
743,2024-02-01,Customer 017,Delhi,Consumer,Headphones,Technology,2500,1,2500
796,2024-02-01,Customer 004,Bengaluru,Small Business,Notebook,Office Supplies,80,2,160
385,2024-02-02,Customer 016,Hyderabad,Corporate,Bookshelf,Furniture,6000,5,30000
446,2024-02-02,Customer 037,Mumbai,Small Business,Office Chair,Furniture,8000,2,16000
779,2024-02-02,Customer 015,Bengaluru,Consumer,Whiteboard,Office Supplies,2000,4,8000
22,2024-02-03,Customer 032,Bengaluru,Consumer,Smartphone,Technology,30000,5,150000
57,2024-02-03,Customer 035,Delhi,Consumer,Headphones,Technology,2500,5,12500
284,2024-02-03,Customer 021,Delhi,Corporate,Stapler,Office Supplies,250,2,500
285,2024-02-05,Customer 018,Mumbai,Corporate,Stapler,Office Supplies,250,5,1250
307,2024-02-05,Customer 002,Delhi,Consumer,Smartphone,Technology,30000,5,150000
470,2024-02-05,Customer 007,Bengaluru,Consumer,Bookshelf,Furniture,6000,3,18000
624,2024-02-05,Customer 006,Pune,Corporate,Monitor,Technology,12000,4,48000
732,2024-02-05,Customer 008,Bengaluru,Consumer,Stapler,Office Supplies,250,4,1000
547,2024-02-06,Customer 035,Delhi,Consumer,Bookshelf,Furniture,6000,5,30000
632,2024-02-06,Customer 028,Pune,Corporate,Office Chair,Furniture,8000,4,32000
787,2024-02-06,Customer 029,Pune,Consumer,Filing Cabinet,Furniture,9000,3,27000
790,2024-02-06,Customer 020,Hyderabad,Consumer,Pen Set,Office Supplies,150,5,750
572,2024-02-07,Customer 038,Delhi,Small Business,Pen Set,Office Supplies,150,5,750
777,2024-02-07,Customer 034,Delhi,Corporate,Headphones,Technology,2500,4,10000
799,2024-02-07,Customer 029,Pune,Consumer,Notebook,Office Supplies,80,2,160
206,2024-02-08,Customer 008,Bengaluru,Consumer,Filing Cabinet,Furniture,9000,1,9000
262,2024-02-08,Customer 035,Delhi,Consumer,Monitor,Technology,12000,4,48000
328,2024-02-08,Customer 028,Pune,Corporate,Stapler,Office Supplies,250,4,1000
416,2024-02-08,Customer 024,Hyderabad,Small Business,Desk,Furniture,15000,4,60000
211,2024-02-09,Customer 027,Delhi,Small Business,Desk,Furniture,15000,5,75000
441,2024-02-09,Customer 013,Mumbai,Corporate,Printer Paper,Office Supplies,300,5,1500
15,2024-02-10,Customer 028,Pune,Corporate,Monitor,Technology,12000,4,48000
248,2024-02-10,Customer 021,Delhi,Corporate,Pen Set,Office Supplies,150,4,600
340,2024-02-10,Customer 030,Bengaluru,Consumer,Filing Cabinet,Furniture,9000,1,9000
610,2024-02-10,Customer 011,Pune,Consumer,Stapler,Office Supplies,250,2,500
351,2024-02-11,Customer 007,Bengaluru,Consumer,Whiteboard,Office Supplies,2000,4,8000
409,2024-02-11,Customer 019,Bengaluru,Consumer,Office Chair,Furniture,8000,4,32000
314,2024-02-12,Customer 028,Pune,Corporate,Smartphone,Technology,30000,3,90000
378,2024-02-12,Customer 015,Bengaluru,Consumer,Laptop,Technology,55000,3,165000
461,2024-02-13,Customer 033,Bengaluru,Corporate,Filing Cabinet,Furniture,9000,2,18000
468,2024-02-13,Customer 033,Bengaluru,Corporate,Filing Cabinet,Furniture,9000,5,45000
519,2024-02-13,Customer 007,Bengaluru,Consumer,Monitor,Technology,12000,2,24000
602,2024-02-13,Customer 025,Bengaluru,Corporate,Bookshelf,Furniture,6000,5,30000
294,2024-02-14,Customer 007,Bengaluru,Consumer,Pen Set,Office Supplies,150,3,450
425,2024-02-15,Customer 012,Pune,Corporate,Pen Set,Office Supplies,150,4,600
648,2024-02-15,Customer 039,Bengaluru,Small Business,Filing Cabinet,Furniture,9000,5,45000
769,2024-02-15,Customer 019,Bengaluru,Consumer,Notebook,Office Supplies,80,3,240
194,2024-02-16,Customer 023,Bengaluru,Small Business,Bookshelf,Furniture,6000,3,18000
338,2024-02-16,Customer 029,Pune,Consumer,Printer Paper,Office Supplies,300,3,900
604,2024-02-16,Customer 028,Pune,Corporate,Printer Paper,Office Supplies,300,3,900
142,2024-02-17,Customer 022,Pune,Corporate,Laptop,Technology,55000,4,220000
391,2024-02-17,Customer 035,Delhi,Consumer,Whiteboard,Office Supplies,2000,5,10000
443,2024-02-17,Customer 011,Pune,Consumer,Stapler,Office Supplies,250,5,1250
139,2024-02-19,Customer 016,Hyderabad,Corporate,Smartphone,Technology,30000,3,90000
171,2024-02-19,Customer 004,Bengaluru,Small Business,Monitor,Technology,12000,2,24000
353,2024-02-19,Customer 010,Pune,Consumer,Desk,Furniture,15000,3,45000
533,2024-02-19,Customer 008,Bengaluru,Consumer,Laptop,Technology,55000,5,275000
691,2024-02-19,Customer 008,Bengaluru,Consumer,Office Chair,Furniture,8000,5,40000
782,2024-02-19,Customer 037,Mumbai,Small Business,Laptop,Technology,55000,4,220000
233,2024-02-20,Customer 025,Bengaluru,Corporate,Stapler,Office Supplies,250,2,500
627,2024-02-20,Customer 039,Bengaluru,Small Business,Notebook,Office Supplies,80,3,240
357,2024-02-21,Customer 028,Pune,Corporate,Whiteboard,Office Supplies,2000,3,6000
88,2024-02-22,Customer 022,Pune,Corporate,Stapler,Office Supplies,250,3,750
413,2024-02-22,Customer 026,Bengaluru,Small Business,Desk,Furniture,15000,5,75000
677,2024-02-22,Customer 009,Mumbai,Small Business,Desk,Furniture,15000,1,15000
113,2024-02-23,Customer 019,Bengaluru,Consumer,Headphones,Technology,2500,3,7500
373,2024-02-23,Customer 034,Delhi,Corporate,Smartphone,Technology,30000,3,90000
450,2024-02-23,Customer 004,Bengaluru,Small Business,Monitor,Technology,12000,4,48000
629,2024-02-24,Customer 036,Delhi,Corporate,Headphones,Technology,2500,5,12500
10,2024-02-25,Customer 004,Bengaluru,Small Business,Smartphone,Technology,30000,2,60000
104,2024-02-25,Customer 028,Pune,Corporate,Headphones,Technology,2500,2,5000
374,2024-02-25,Customer 011,Pune,Consumer,Office Chair,Furniture,8000,4,32000
384,2024-02-25,Customer 019,Bengaluru,Consumer,Headphones,Technology,2500,3,7500
619,2024-02-25,Customer 040,Mumbai,Small Business,Office Chair,Furniture,8000,2,16000
426,2024-02-26,Customer 021,Delhi,Corporate,Printer Paper,Office Supplies,300,3,900
170,2024-02-27,Customer 005,Pune,Consumer,Bookshelf,Furniture,6000,4,24000
379,2024-02-27,Customer 022,Pune,Corporate,Notebook,Office Supplies,80,2,160
324,2024-02-28,Customer 021,Delhi,Corporate,Stapler,Office Supplies,250,4,1000
800,2024-02-28,Customer 022,Pune,Corporate,Smartphone,Technology,30000,1,30000
100,2024-03-01,Customer 003,Mumbai,Consumer,Headphones,Technology,2500,4,10000
179,2024-03-01,Customer 027,Delhi,Small Business,Filing Cabinet,Furniture,9000,5,45000
276,2024-03-01,Customer 023,Bengaluru,Small Business,Notebook,Office Supplies,80,2,160
380,2024-03-02,Customer 019,Bengaluru,Consumer,Filing Cabinet,Furniture,9000,2,18000
50,2024-03-03,Customer 039,Bengaluru,Small Business,Smartphone,Technology,30000,2,60000
399,2024-03-03,Customer 030,Bengaluru,Consumer,Laptop,Technology,55000,3,165000
501,2024-03-04,Customer 040,Mumbai,Small Business,Pen Set,Office Supplies,150,5,750
597,2024-03-04,Customer 007,Bengaluru,Consumer,Whiteboard,Office Supplies,2000,2,4000
23,2024-03-05,Customer 031,Mumbai,Corporate,Whiteboard,Office Supplies,2000,2,4000
360,2024-03-05,Customer 005,Pune,Consumer,Office Chair,Furniture,8000,1,8000
444,2024-03-06,Customer 040,Mumbai,Small Business,Pen Set,Office Supplies,150,5,750
46,2024-03-07,Customer 019,Bengaluru,Consumer,Headphones,Technology,2500,1,2500
249,2024-03-07,Customer 009,Mumbai,Small Business,Notebook,Office Supplies,80,5,400
797,2024-03-07,Customer 026,Bengaluru,Small Business,Desk,Furniture,15000,1,15000
7,2024-03-08,Customer 036,Delhi,Corporate,Whiteboard,Office Supplies,2000,3,6000
115,2024-03-08,Customer 025,Bengaluru,Corporate,Pen Set,Office Supplies,150,2,300
178,2024-03-08,Customer 012,Pune,Corporate,Whiteboard,Office Supplies,2000,1,2000
231,2024-03-08,Customer 034,Delhi,Corporate,Bookshelf,Furniture,6000,5,30000
430,2024-03-08,Customer 032,Bengaluru,Consumer,Laptop,Technology,55000,3,165000
768,2024-03-08,Customer 034,Delhi,Corporate,Laptop,Technology,55000,4,220000
39,2024-03-09,Customer 030,Bengaluru,Consumer,Headphones,Technology,2500,1,2500
62,2024-03-09,Customer 008,Bengaluru,Consumer,Smartphone,Technology,30000,5,150000
63,2024-03-09,Customer 019,Bengaluru,Consumer,Stapler,Office Supplies,250,2,500
333,2024-03-09,Customer 013,Mumbai,Corporate,Monitor,Technology,12000,5,60000
465,2024-03-09,Customer 024,Hyderabad,Small Business,Notebook,Office Supplies,80,4,320
137,2024-03-10,Customer 007,Bengaluru,Consumer,Stapler,Office Supplies,250,1,250
439,2024-03-10,Customer 011,Pune,Consumer,Monitor,Technology,12000,3,36000
638,2024-03-10,Customer 021,Delhi,Corporate,Stapler,Office Supplies,250,2,500
535,2024-03-11,Customer 034,Delhi,Corporate,Filing Cabinet,Furniture,9000,1,9000
683,2024-03-11,Customer 029,Pune,Consumer,Stapler,Office Supplies,250,1,250
309,2024-03-12,Customer 020,Hyderabad,Consumer,Pen Set,Office Supplies,150,3,450
658,2024-03-12,Customer 002,Delhi,Consumer,Filing Cabinet,Furniture,9000,1,9000
756,2024-03-12,Customer 009,Mumbai,Small Business,Pen Set,Office Supplies,150,3,450
476,2024-03-13,Customer 040,Mumbai,Small Business,Pen Set,Office Supplies,150,3,450
525,2024-03-13,Customer 033,Bengaluru,Corporate,Pen Set,Office Supplies,150,3,450
42,2024-03-14,Customer 032,Bengaluru,Consumer,Filing Cabinet,Furniture,9000,2,18000
71,2024-03-14,Customer 009,Mumbai,Small Business,Laptop,Technology,55000,3,165000
75,2024-03-14,Customer 002,Delhi,Consumer,Monitor,Technology,12000,3,36000
509,2024-03-14,Customer 012,Pune,Corporate,Laptop,Technology,55000,4,220000
716,2024-03-15,Customer 030,Bengaluru,Consumer,Laptop,Technology,55000,4,220000
192,2024-03-16,Customer 034,Delhi,Corporate,Printer Paper,Office Supplies,300,4,1200
681,2024-03-16,Customer 035,Delhi,Consumer,Pen Set,Office Supplies,150,2,300
483,2024-03-17,Customer 040,Mumbai,Small Business,Notebook,Office Supplies,80,4,320
557,2024-03-17,Customer 019,Bengaluru,Consumer,Headphones,Technology,2500,5,12500
295,2024-03-18,Customer 004,Bengaluru,Small Business,Stapler,Office Supplies,250,5,1250
408,2024-03-18,Customer 019,Bengaluru,Consumer,Desk,Furniture,15000,1,15000
363,2024-03-20,Customer 025,Bengaluru,Corporate,Monitor,Technology,12000,2,24000
432,2024-03-20,Customer 006,Pune,Corporate,Smartphone,Technology,30000,3,90000
646,2024-03-21,Customer 020,Hyderabad,Consumer,Headphones,Technology,2500,3,7500
390,2024-03-22,Customer 006,Pune,Corporate,Whiteboard,Office Supplies,2000,3,6000
68,2024-03-24,Customer 029,Pune,Consumer,Whiteboard,Office Supplies,2000,4,8000
548,2024-03-24,Customer 015,Bengaluru,Consumer,Laptop,Technology,55000,1,55000
311,2024-03-25,Customer 040,Mumbai,Small Business,Laptop,Technology,55000,1,55000
334,2024-03-25,Customer 005,Pune,Consumer,Monitor,Technology,12000,4,48000
544,2024-03-25,Customer 027,Delhi,Small Business,Desk,Furniture,15000,4,60000
702,2024-03-25,Customer 027,Delhi,Small Business,Laptop,Technology,55000,3,165000
185,2024-03-26,Customer 020,Hyderabad,Consumer,Stapler,Office Supplies,250,5,1250
698,2024-03-26,Customer 014,Pune,Corporate,Headphones,Technology,2500,1,2500
364,2024-03-27,Customer 040,Mumbai,Small Business,Notebook,Office Supplies,80,2,160
458,2024-03-27,Customer 021,Delhi,Corporate,Stapler,Office Supplies,250,3,750
484,2024-03-27,Customer 016,Hyderabad,Corporate,Laptop,Technology,55000,5,275000
127,2024-03-28,Customer 030,Bengaluru,Consumer,Monitor,Technology,12000,1,12000
513,2024-03-28,Customer 033,Bengaluru,Corporate,Filing Cabinet,Furniture,9000,3,27000
718,2024-03-28,Customer 018,Mumbai,Corporate,Smartphone,Technology,30000,3,90000
400,2024-04-02,Customer 013,Mumbai,Corporate,Laptop,Technology,55000,3,165000
30,2024-04-03,Customer 003,Mumbai,Consumer,Desk,Furniture,15000,1,15000
272,2024-04-03,Customer 036,Delhi,Corporate,Headphones,Technology,2500,5,12500
160,2024-04-04,Customer 013,Mumbai,Corporate,Desk,Furniture,15000,1,15000
795,2024-04-04,Customer 030,Bengaluru,Consumer,Smartphone,Technology,30000,2,60000
134,2024-04-05,Customer 031,Mumbai,Corporate,Printer Paper,Office Supplies,300,1,300
456,2024-04-05,Customer 007,Bengaluru,Consumer,Laptop,Technology,55000,3,165000
774,2024-04-05,Customer 001,Bengaluru,Consumer,Bookshelf,Furniture,6000,1,6000
786,2024-04-05,Customer 038,Delhi,Small Business,Smartphone,Technology,30000,2,60000
78,2024-04-07,Customer 030,Bengaluru,Consumer,Desk,Furniture,15000,3,45000
133,2024-04-07,Customer 002,Delhi,Consumer,Stapler,Office Supplies,250,2,500
553,2024-04-07,Customer 005,Pune,Consumer,Smartphone,Technology,30000,5,150000
598,2024-04-07,Customer 040,Mumbai,Small Business,Whiteboard,Office Supplies,2000,3,6000
606,2024-04-07,Customer 037,Mumbai,Small Business,Filing Cabinet,Furniture,9000,3,27000
696,2024-04-07,Customer 038,Delhi,Small Business,Pen Set,Office Supplies,150,3,450
79,2024-04-08,Customer 002,Delhi,Consumer,Printer Paper,Office Supplies,300,2,600
492,2024-04-08,Customer 018,Mumbai,Corporate,Whiteboard,Office Supplies,2000,3,6000
502,2024-04-08,Customer 004,Bengaluru,Small Business,Printer Paper,Office Supplies,300,5,1500
527,2024-04-08,Customer 009,Mumbai,Small Business,Filing Cabinet,Furniture,9000,2,18000
670,2024-04-09,Customer 005,Pune,Consumer,Stapler,Office Supplies,250,1,250
734,2024-04-09,Customer 006,Pune,Corporate,Headphones,Technology,2500,5,12500
368,2024-04-10,Customer 031,Mumbai,Corporate,Headphones,Technology,2500,3,7500
493,2024-04-10,Customer 019,Bengaluru,Consumer,Pen Set,Office Supplies,150,2,300
559,2024-04-10,Customer 010,Pune,Consumer,Printer Paper,Office Supplies,300,5,1500
678,2024-04-10,Customer 008,Bengaluru,Consumer,Monitor,Technology,12000,3,36000
688,2024-04-10,Customer 003,Mumbai,Consumer,Office Chair,Furniture,8000,2,16000
330,2024-04-11,Customer 011,Pune,Consumer,Smartphone,Technology,30000,5,150000
584,2024-04-11,Customer 015,Bengaluru,Consumer,Bookshelf,Furniture,6000,5,30000
156,2024-04-13,Customer 016,Hyderabad,Corporate,Office Chair,Furniture,8000,5,40000
308,2024-04-13,Customer 027,Delhi,Small Business,Filing Cabinet,Furniture,9000,3,27000
290,2024-04-14,Customer 022,Pune,Corporate,Filing Cabinet,Furniture,9000,4,36000
560,2024-04-14,Customer 020,Hyderabad,Consumer,Office Chair,Furniture,8000,1,8000
766,2024-04-14,Customer 021,Delhi,Corporate,Office Chair,Furniture,8000,1,8000
455,2024-04-15,Customer 008,Bengaluru,Consumer,Office Chair,Furniture,8000,4,32000
635,2024-04-15,Customer 007,Bengaluru,Consumer,Monitor,Technology,12000,3,36000
122,2024-04-16,Customer 015,Bengaluru,Consumer,Office Chair,Furniture,8000,4,32000
573,2024-04-16,Customer 014,Pune,Corporate,Desk,Furniture,15000,3,45000
585,2024-04-16,Customer 036,Delhi,Corporate,Printer Paper,Office Supplies,300,3,900
738,2024-04-16,Customer 025,Bengaluru,Corporate,Smartphone,Technology,30000,2,60000
655,2024-04-17,Customer 034,Delhi,Corporate,Whiteboard,Office Supplies,2000,5,10000
32,2024-04-18,Customer 009,Mumbai,Small Business,Pen Set,Office Supplies,150,5,750
38,2024-04-18,Customer 029,Pune,Consumer,Monitor,Technology,12000,4,48000
556,2024-04-18,Customer 014,Pune,Corporate,Notebook,Office Supplies,80,1,80
775,2024-04-18,Customer 023,Bengaluru,Small Business,Printer Paper,Office Supplies,300,1,300
462,2024-04-19,Customer 023,Bengaluru,Small Business,Laptop,Technology,55000,1,55000
609,2024-04-19,Customer 010,Pune,Consumer,Notebook,Office Supplies,80,4,320
281,2024-04-20,Customer 003,Mumbai,Consumer,Pen Set,Office Supplies,150,5,750
472,2024-04-20,Customer 033,Bengaluru,Corporate,Bookshelf,Furniture,6000,5,30000
177,2024-04-21,Customer 014,Pune,Corporate,Office Chair,Furniture,8000,1,8000
503,2024-04-21,Customer 015,Bengaluru,Consumer,Laptop,Technology,55000,1,55000
99,2024-04-22,Customer 020,Hyderabad,Consumer,Headphones,Technology,2500,2,5000
154,2024-04-23,Customer 031,Mumbai,Corporate,Printer Paper,Office Supplies,300,4,1200
717,2024-04-23,Customer 009,Mumbai,Small Business,Printer Paper,Office Supplies,300,3,900
153,2024-04-24,Customer 027,Delhi,Small Business,Filing Cabinet,Furniture,9000,5,45000
227,2024-04-24,Customer 006,Pune,Corporate,Bookshelf,Furniture,6000,1,6000
555,2024-04-24,Customer 003,Mumbai,Consumer,Bookshelf,Furniture,6000,4,24000
634,2024-04-24,Customer 032,Bengaluru,Consumer,Stapler,Office Supplies,250,5,1250
318,2024-04-25,Customer 009,Mumbai,Small Business,Notebook,Office Supplies,80,3,240
459,2024-04-25,Customer 011,Pune,Consumer,Filing Cabinet,Furniture,9000,5,45000
371,2024-04-26,Customer 039,Bengaluru,Small Business,Monitor,Technology,12000,3,36000
514,2024-04-26,Customer 008,Bengaluru,Consumer,Desk,Furniture,15000,2,30000
111,2024-04-27,Customer 018,Mumbai,Corporate,Notebook,Office Supplies,80,5,400
118,2024-04-27,Customer 027,Delhi,Small Business,Bookshelf,Furniture,6000,5,30000
273,2024-04-27,Customer 015,Bengaluru,Consumer,Desk,Furniture,15000,2,30000
106,2024-04-28,Customer 008,Bengaluru,Consumer,Filing Cabinet,Furniture,9000,2,18000
267,2024-04-28,Customer 024,Hyderabad,Small Business,Smartphone,Technology,30000,3,90000
300,2024-04-28,Customer 007,Bengaluru,Consumer,Desk,Furniture,15000,5,75000
242,2024-05-01,Customer 037,Mumbai,Small Business,Printer Paper,Office Supplies,300,1,300
86,2024-05-02,Customer 028,Pune,Corporate,Laptop,Technology,55000,5,275000
402,2024-05-02,Customer 013,Mumbai,Corporate,Office Chair,Furniture,8000,3,24000
663,2024-05-02,Customer 008,Bengaluru,Consumer,Laptop,Technology,55000,3,165000
719,2024-05-03,Customer 024,Hyderabad,Small Business,Printer Paper,Office Supplies,300,2,600
748,2024-05-03,Customer 033,Bengaluru,Corporate,Headphones,Technology,2500,2,5000
58,2024-05-05,Customer 023,Bengaluru,Small Business,Smartphone,Technology,30000,2,60000
442,2024-05-05,Customer 020,Hyderabad,Consumer,Stapler,Office Supplies,250,5,1250
193,2024-05-06,Customer 038,Delhi,Small Business,Bookshelf,Furniture,6000,4,24000
54,2024-05-07,Customer 021,Delhi,Corporate,Headphones,Technology,2500,3,7500
269,2024-05-07,Customer 008,Bengaluru,Consumer,Filing Cabinet,Furniture,9000,1,9000
568,2024-05-07,Customer 022,Pune,Corporate,Printer Paper,Office Supplies,300,1,300
21,2024-05-08,Customer 004,Bengaluru,Small Business,Headphones,Technology,2500,5,12500
164,2024-05-08,Customer 024,Hyderabad,Small Business,Monitor,Technology,12000,3,36000
352,2024-05-09,Customer 039,Bengaluru,Small Business,Monitor,Technology,12000,3,36000
631,2024-05-10,Customer 018,Mumbai,Corporate,Filing Cabinet,Furniture,9000,2,18000
147,2024-05-11,Customer 016,Hyderabad,Corporate,Smartphone,Technology,30000,3,90000
151,2024-05-11,Customer 018,Mumbai,Corporate,Stapler,Office Supplies,250,3,750
198,2024-05-11,Customer 008,Bengaluru,Consumer,Notebook,Office Supplies,80,4,320
223,2024-05-11,Customer 040,Mumbai,Small Business,Pen Set,Office Supplies,150,4,600
319,2024-05-11,Customer 008,Bengaluru,Consumer,Laptop,Technology,55000,4,220000
712,2024-05-11,Customer 019,Bengaluru,Consumer,Desk,Furniture,15000,5,75000
128,2024-05-13,Customer 021,Delhi,Corporate,Headphones,Technology,2500,4,10000
349,2024-05-13,Customer 027,Delhi,Small Business,Notebook,Office Supplies,80,3,240
564,2024-05-13,Customer 012,Pune,Corporate,Notebook,Office Supplies,80,5,400
659,2024-05-14,Customer 006,Pune,Corporate,Smartphone,Technology,30000,2,60000
186,2024-05-15,Customer 008,Bengaluru,Consumer,Filing Cabinet,Furniture,9000,3,27000
203,2024-05-15,Customer 032,Bengaluru,Consumer,Smartphone,Technology,30000,1,30000
282,2024-05-15,Customer 002,Delhi,Consumer,Laptop,Technology,55000,4,220000
312,2024-05-15,Customer 028,Pune,Corporate,Filing Cabinet,Furniture,9000,5,45000
512,2024-05-15,Customer 035,Delhi,Consumer,Whiteboard,Office Supplies,2000,4,8000
549,2024-05-15,Customer 035,Delhi,Consumer,Bookshelf,Furniture,6000,5,30000
623,2024-05-15,Customer 024,Hyderabad,Small Business,Notebook,Office Supplies,80,3,240
463,2024-05-16,Customer 039,Bengaluru,Small Business,Printer Paper,Office Supplies,300,4,1200
633,2024-05-16,Customer 005,Pune,Consumer,Desk,Furniture,15000,3,45000
24,2024-05-17,Customer 039,Bengaluru,Small Business,Bookshelf,Furniture,6000,2,12000
401,2024-05-17,Customer 026,Bengaluru,Small Business,Whiteboard,Office Supplies,2000,4,8000
758,2024-05-17,Customer 005,Pune,Consumer,Office Chair,Furniture,8000,5,40000
13,2024-05-18,Customer 001,Bengaluru,Consumer,Printer Paper,Office Supplies,300,1,300
205,2024-05-18,Customer 001,Bengaluru,Consumer,Whiteboard,Office Supplies,2000,4,8000
464,2024-05-18,Customer 001,Bengaluru,Consumer,Smartphone,Technology,30000,4,120000
138,2024-05-19,Customer 025,Bengaluru,Corporate,Bookshelf,Furniture,6000,2,12000
339,2024-05-19,Customer 004,Bengaluru,Small Business,Desk,Furniture,15000,5,75000
511,2024-05-19,Customer 039,Bengaluru,Small Business,Smartphone,Technology,30000,3,90000
701,2024-05-19,Customer 018,Mumbai,Corporate,Whiteboard,Office Supplies,2000,1,2000
298,2024-05-20,Customer 020,Hyderabad,Consumer,Desk,Furniture,15000,1,15000
2,2024-05-21,Customer 036,Delhi,Corporate,Headphones,Technology,2500,3,7500
601,2024-05-22,Customer 006,Pune,Corporate,Printer Paper,Office Supplies,300,1,300
305,2024-05-23,Customer 020,Hyderabad,Consumer,Desk,Furniture,15000,3,45000
498,2024-05-23,Customer 006,Pune,Corporate,Desk,Furniture,15000,4,60000
750,2024-05-23,Customer 028,Pune,Corporate,Pen Set,Office Supplies,150,2,300
640,2024-05-24,Customer 032,Bengaluru,Consumer,Stapler,Office Supplies,250,2,500
